,Datum,News Paper count
0,2020-03-01,47
1,2020-03-02,48
2,2020-03-03,62
3,2020-03-04,44
4,2020-03-05,61
5,2020-03-06,65
6,2020-03-07,31
7,2020-03-08,54
8,2020-03-09,79
9,2020-03-10,107
10,2020-03-11,90
11,2020-03-12,145
12,2020-03-13,155
13,2020-03-14,84
14,2020-03-15,114
15,2020-03-16,187
16,2020-03-17,158
17,2020-03-18,174
18,2020-03-19,175
19,2020-03-20,221
20,2020-03-21,87
21,2020-03-22,103
22,2020-03-23,170
23,2020-03-24,161
24,2020-03-25,159
25,2020-03-26,183
26,2020-03-27,182
27,2020-03-28,76
28,2020-03-29,108
29,2020-03-30,152
30,2020-03-31,138
31,2020-04-01,142
32,2020-04-02,178
33,2020-04-03,193
34,2020-04-04,56
35,2020-04-05,93
36,2020-04-06,105
37,2020-04-07,147
38,2020-04-08,134
39,2020-04-09,154
40,2020-04-10,166
41,2020-04-11,63
42,2020-04-12,68
43,2020-04-13,77
44,2020-04-14,132
45,2020-04-15,150
46,2020-04-16,166
47,2020-04-17,167
48,2020-04-18,70
49,2020-04-19,70
50,2020-04-20,129
51,2020-04-21,113
52,2020-04-22,142
53,2020-04-23,129
54,2020-04-24,152
55,2020-04-25,74
56,2020-04-26,87
57,2020-04-27,113
58,2020-04-28,120
59,2020-04-29,113
60,2020-04-30,126
61,2020-05-01,206
62,2020-05-02,89
63,2020-05-03,91
64,2020-05-04,185
65,2020-05-05,125
66,2020-05-06,210
67,2020-05-07,187
68,2020-05-08,198
69,2020-05-09,98
70,2020-05-10,107
71,2020-05-11,173
72,2020-05-12,154
73,2020-05-13,165
74,2020-05-14,184
75,2020-05-15,171
76,2020-05-16,92
77,2020-05-17,90
78,2020-05-18,156
79,2020-05-19,170
80,2020-05-20,170
81,2020-05-21,116
82,2020-05-22,184
83,2020-05-23,87
84,2020-05-24,100
85,2020-05-25,174
86,2020-05-26,159
87,2020-05-27,146
88,2020-05-28,179
89,2020-05-29,157
90,2020-05-30,66
91,2020-05-31,84
92,2020-06-01,88
93,2020-06-02,157
94,2020-06-03,154
95,2020-06-04,145
96,2020-06-05,120
97,2020-06-06,72
98,2020-06-07,89
99,2020-06-08,125
100,2020-06-09,117
101,2020-06-10,126
102,2020-06-11,108
103,2020-06-12,135
104,2020-06-13,85
105,2020-06-14,79
106,2020-06-15,127
107,2020-06-16,120
108,2020-06-17,126
109,2020-06-18,127
110,2020-06-19,145
111,2020-06-20,90
112,2020-06-21,45
113,2020-06-22,131
114,2020-06-23,124
115,2020-06-24,139
116,2020-06-25,155
117,2020-06-26,126
