Medium,Datum,Positive word,Negative word,Anger word,Disgust word,Fear word,Joy word,Sadness word
De Volkskrant,2020-03-01,,,,,,,
De Volkskrant,2020-03-01,,wild,,,,,
De Volkskrant,2020-03-01,,,,,,,
De Volkskrant,2020-03-01,,,,,,,
De Volkskrant,2020-03-01,,vloek,vloek,vloek,,,
De Volkskrant,2020-03-01,,,,,,,
De Volkskrant,2020-03-01,,,,,,,
De Volkskrant,2020-03-01,,,,,,,
De Volkskrant,2020-03-01,reden,paniek,,,paniek,,
De Volkskrant,2020-03-01,,,,,,,
De Volkskrant,2020-03-01,,,,,,,
De Volkskrant,2020-03-01,,,,,,,
De Volkskrant,2020-03-01,,,,,,,
De Volkskrant,2020-03-01,goed,,,,,goed,
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,zorgen,,,zorgen,,zorgen
NOS,2020-03-01,,risico,,,risico,,
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,"chaos, verwarring",chaos,,chaos,,chaos
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,toestand,,toestand,toestand,,toestand
NOS,2020-03-01,,,,,,,
NOS,2020-03-01,,risico,,,risico,,
NRC,2020-03-01,,,,,,,
NRC,2020-03-01,,verplichten,,,,,
NRC,2020-03-01,,,,,,,
NRC,2020-03-01,,,,,,,
Trouw,2020-03-01,,griep,,,griep,,
Trouw,2020-03-01,,,,,,,
Trouw,2020-03-01,,,,,,,
Trouw,2020-03-01,,slachtoffer,slachtoffer,,slachtoffer,,slachtoffer
Trouw,2020-03-01,,,,,,,
Trouw,2020-03-01,,,,,,,
Trouw,2020-03-01,,,,,,,
Trouw,2020-03-01,goed,,,,,goed,
De Volkskrant,2020-03-02,,,,,,,
De Volkskrant,2020-03-02,,,,,,,
De Volkskrant,2020-03-02,,,,,,,
De Volkskrant,2020-03-02,"empathie, helpen",,,,,,
De Volkskrant,2020-03-02,salaris,hard,,,,salaris,
De Volkskrant,2020-03-02,,,,,,,
De Volkskrant,2020-03-02,,,,,,,
De Volkskrant,2020-03-02,,,,,,,
De Volkskrant,2020-03-02,,zorgen,,,zorgen,,zorgen
NOS,2020-03-02,,ziek,,ziek,ziek,,ziek
NOS,2020-03-02,,,,,,,
NOS,2020-03-02,,,,,,,
NOS,2020-03-02,,griep,,,griep,,
NOS,2020-03-02,,,,,,,
NOS,2020-03-02,,,,,,,
NOS,2020-03-02,,,,,,,
NOS,2020-03-02,,,,,,,
NOS,2020-03-02,,vrezen,,,vrezen,,
NOS,2020-03-02,,,,,,,
NOS,2020-03-02,,gevaar,,,gevaar,,
NOS,2020-03-02,,,,,,,
NOS,2020-03-02,,,,,,,
NOS,2020-03-02,,,,,,,
NOS,2020-03-02,,,,,,,
NOS,2020-03-02,,,,,,,
NOS,2020-03-02,,,,,,,
NOS,2020-03-02,"samenwerking, wenselijk",,,,,,
NRC,2020-03-02,,,,,,,
NRC,2020-03-02,,,,,,,
NRC,2020-03-02,,,,,,,
NRC,2020-03-02,zwembad,,,,,,
NRC,2020-03-02,,,,,,,
NRC,2020-03-02,,twijfel,,,twijfel,,twijfel
NRC,2020-03-02,,,,,,,
NRC,2020-03-02,reden,,,,,,
NRC,2020-03-02,,,,,,,
NRC,2020-03-02,eerlijk,verloop,,,,,bezorgd
NRC,2020-03-02,flink,,,,,,
Trouw,2020-03-02,,benauwd,,,,,
Trouw,2020-03-02,,,,,,,
Trouw,2020-03-02,,,,,,,
Trouw,2020-03-02,,,,,,,
Trouw,2020-03-02,,,,,,,
Trouw,2020-03-02,,,,,,,
Trouw,2020-03-02,groen,,,,,,
Trouw,2020-03-02,,,,,,,
Trouw,2020-03-02,,,,,,,
Trouw,2020-03-02,,,,,,,
De Volkskrant,2020-03-03,,,,,,,
De Volkskrant,2020-03-03,"goed, paus","fout, omstreden, oorlog",omstreden,omstreden,"omstreden, oorlog",goed,fout
De Volkskrant,2020-03-03,,,,,,,
De Volkskrant,2020-03-03,,,,,,,
De Volkskrant,2020-03-03,,,,,,,
De Volkskrant,2020-03-03,,,,,,,
De Volkskrant,2020-03-03,,,,,,,
De Volkskrant,2020-03-03,,,,,,,
De Volkskrant,2020-03-03,geduld,,,,,,
De Volkskrant,2020-03-03,,,,,,,
De Volkskrant,2020-03-03,,,,,,,noodzaak
De Volkskrant,2020-03-03,,,,,,,
De Volkskrant,2020-03-03,,,,,,,
De Volkskrant,2020-03-03,krant,,,,,,
De Volkskrant,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,laagste,,,,,laagste
NOS,2020-03-03,,griep,,,griep,,
NOS,2020-03-03,,geval,,,geval,,geval
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NOS,2020-03-03,,,,,,,
NRC,2020-03-03,,onzeker,onzeker,,onzeker,,
NRC,2020-03-03,,,,,,,
NRC,2020-03-03,,,,,,,
NRC,2020-03-03,,,,,,,
NRC,2020-03-03,,,,,,,
NRC,2020-03-03,,,,,,,
NRC,2020-03-03,,,,,,,
NRC,2020-03-03,,,steek,,,,
NRC,2020-03-03,,,,,,,
NRC,2020-03-03,,,,,,,
NRC,2020-03-03,,,,,,,
NRC,2020-03-03,,,,,,,
NRC,2020-03-03,geruststellen,,,,,,
NRC,2020-03-03,,,,,,,
NRC,2020-03-03,,,,,,,
Trouw,2020-03-03,,,,,,,
Trouw,2020-03-03,,,,,,,
Trouw,2020-03-03,,,,,,,
Trouw,2020-03-03,,,,,,,
Trouw,2020-03-03,,conflict,conflict,,conflict,,conflict
Trouw,2020-03-03,,,,,,,
Trouw,2020-03-03,,,,,,,
Trouw,2020-03-03,,,,,,,
Trouw,2020-03-03,,,,,,,
Trouw,2020-03-03,,paniek,,,paniek,,
Trouw,2020-03-03,fijn,,,,,,
De Volkskrant,2020-03-04,,,,,,,
De Volkskrant,2020-03-04,,,,,,,
De Volkskrant,2020-03-04,,,,,,,
De Volkskrant,2020-03-04,lachend,,elleboog,,,lachend,
De Volkskrant,2020-03-04,,,,,,,
De Volkskrant,2020-03-04,,,,,,,
De Volkskrant,2020-03-04,helpen,,,,,,
De Volkskrant,2020-03-04,,,,,,,
De Volkskrant,2020-03-04,,,,,,,
NOS,2020-03-04,,,,,,,
NOS,2020-03-04,,zorgen,,,zorgen,,zorgen
NOS,2020-03-04,,,,,,,
NOS,2020-03-04,,,,,,,
NOS,2020-03-04,,,,,,,
NOS,2020-03-04,,,,,,,
NOS,2020-03-04,,,,,,,
NOS,2020-03-04,,,,,,,
NOS,2020-03-04,,,,,,,
NOS,2020-03-04,,,,,,,
NOS,2020-03-04,,,,,,,
NOS,2020-03-04,,,,,,,
NOS,2020-03-04,,,,,,,
NOS,2020-03-04,,,,,,,
NOS,2020-03-04,,,,,,,
NRC,2020-03-04,,dodelijk,dodelijk,dodelijk,dodelijk,,dodelijk
NRC,2020-03-04,improviseren,,,,,,
NRC,2020-03-04,,,,,moeilijk,,
NRC,2020-03-04,,,,,,,
NRC,2020-03-04,,,,,,,
NRC,2020-03-04,,,,,,,
NRC,2020-03-04,,,,,,,
NRC,2020-03-04,,,,,,,
NRC,2020-03-04,,chaos,chaos,,chaos,,chaos
NRC,2020-03-04,,,,,,,
Trouw,2020-03-04,zee,,,,,,
Trouw,2020-03-04,,,,,,,
Trouw,2020-03-04,,,,,,,
Trouw,2020-03-04,les,,,,,,
Trouw,2020-03-04,,,,,,,
Trouw,2020-03-04,,,,,,,
Trouw,2020-03-04,,verwarring,,,,,
Trouw,2020-03-04,,,,,,,
Trouw,2020-03-04,,,,,,,
Trouw,2020-03-04,veilig,,,,,veilig,
De Volkskrant,2020-03-05,verdienen,,,,,,ramp
De Volkskrant,2020-03-05,,,,,,,
De Volkskrant,2020-03-05,,,,,,,
De Volkskrant,2020-03-05,,,,,,,
De Volkskrant,2020-03-05,productie,,,,,,
De Volkskrant,2020-03-05,,angst,angst,,angst,,angst
De Volkskrant,2020-03-05,,frustreren,frustreren,frustreren,,,frustreren
De Volkskrant,2020-03-05,,,,,,,
De Volkskrant,2020-03-05,,,,,,,
De Volkskrant,2020-03-05,,,,,,,
De Volkskrant,2020-03-05,,,,,,,
De Volkskrant,2020-03-05,,,,,,,
De Volkskrant,2020-03-05,,,,,,,
De Volkskrant,2020-03-05,,,,,,,
De Volkskrant,2020-03-05,,,,,,,
De Volkskrant,2020-03-05,,,,,,,
De Volkskrant,2020-03-05,,,,,,,
De Volkskrant,2020-03-05,,lijden,,,,,
De Volkskrant,2020-03-05,,,,,,,
De Volkskrant,2020-03-05,,paniek,,,paniek,,
De Volkskrant,2020-03-05,goed,,,,,goed,
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,,,,,,,bezorgd
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,"productie, stutten",,,,,,
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,,,,,,,
NOS,2020-03-05,,,,,,,
NRC,2020-03-05,,,,,,,
NRC,2020-03-05,,schade,,,,,
NRC,2020-03-05,,,,,,,
NRC,2020-03-05,,,,,,,
NRC,2020-03-05,,,,,,,
NRC,2020-03-05,,betaling,,,,,
NRC,2020-03-05,,,,,,,
NRC,2020-03-05,,,,,,,
NRC,2020-03-05,,verliezen,verliezen,,,,verliezen
NRC,2020-03-05,optimisme,,,,,optimisme,
NRC,2020-03-05,,,,,,,
NRC,2020-03-05,,boete,boete,,boete,,boete
NRC,2020-03-05,,,,,,,
NRC,2020-03-05,echt,,,,,,
NRC,2020-03-05,winnaar,,beer,,beer,winnaar,
Trouw,2020-03-05,,,,,,,
Trouw,2020-03-05,,,,,,,
Trouw,2020-03-05,,kloof,,,,,
Trouw,2020-03-05,woord,,,,,,
Trouw,2020-03-05,verrassing,,,,verrassing,verrassing,
Trouw,2020-03-05,,,,,,,
De Volkskrant,2020-03-06,laser,bang,,,bang,,
De Volkskrant,2020-03-06,,overleden,,,,,overleden
De Volkskrant,2020-03-06,,,,,,,
De Volkskrant,2020-03-06,,,,,,,
De Volkskrant,2020-03-06,,,,,,,
De Volkskrant,2020-03-06,,,,,,,
De Volkskrant,2020-03-06,,,,,,,
De Volkskrant,2020-03-06,,,,,,,
De Volkskrant,2020-03-06,,dodelijk,dodelijk,dodelijk,dodelijk,,dodelijk
De Volkskrant,2020-03-06,,,,,,,
De Volkskrant,2020-03-06,,,,,,,
De Volkskrant,2020-03-06,,,,,,,
De Volkskrant,2020-03-06,,,,,,,
De Volkskrant,2020-03-06,belofte,,,,,belofte,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,raken,raken,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,beperken,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,ziek,,ziek,ziek,,ziek
NOS,2020-03-06,,overleden,,,,,overleden
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,,,,,,,
NOS,2020-03-06,winnaar,,,,,winnaar,
NOS,2020-03-06,betrouwbaar,,,,,,
NRC,2020-03-06,,gevaarlijk,,,gevaarlijk,,
NRC,2020-03-06,,,,,,,
NRC,2020-03-06,,,,,,,
NRC,2020-03-06,,,,,,,
NRC,2020-03-06,,,,,,,
NRC,2020-03-06,,,,,,,
NRC,2020-03-06,,,,,,,
NRC,2020-03-06,,,,,koorts,,
NRC,2020-03-06,,,,,,,
NRC,2020-03-06,,,,,,,
NRC,2020-03-06,,tekort,,,,,
NRC,2020-03-06,,tekort,,,,,
NRC,2020-03-06,,,,,,,
NRC,2020-03-06,,,,,,,
Trouw,2020-03-06,,hel,hel,,hel,,
Trouw,2020-03-06,,slap,,,,,
Trouw,2020-03-06,,verliezen,verliezen,,,,verliezen
Trouw,2020-03-06,,,,,,,
Trouw,2020-03-06,,,,,,,
Trouw,2020-03-06,,,,,,,
Trouw,2020-03-06,,,,,,,
Trouw,2020-03-06,,,,,,,
Trouw,2020-03-06,betrouwbaar,,,,,,
NOS,2020-03-07,beschermen,,,,,,
NOS,2020-03-07,,ruzie,ruzie,,,,
NOS,2020-03-07,,,,,,,
NOS,2020-03-07,cultuur,,,,,,
NOS,2020-03-07,,,,,,,
NOS,2020-03-07,,,,,,,
NOS,2020-03-07,,,,,,,
NOS,2020-03-07,,,,,,,
NOS,2020-03-07,,,,,,,
NOS,2020-03-07,,,,,,,
NOS,2020-03-07,,,,,,,
NOS,2020-03-07,,,,,,,
NOS,2020-03-07,,,,,,,
NOS,2020-03-07,,,,,,,
NRC,2020-03-07,koel,,wringen,,,,
NRC,2020-03-07,,beperkt,beperkt,,,,beperkt
NRC,2020-03-07,,,,,,,
NRC,2020-03-07,,,,,,,
NRC,2020-03-07,,,,,,,
NRC,2020-03-07,,,,,,,
NRC,2020-03-07,,,,,,,
NRC,2020-03-07,,,,,,,
Trouw,2020-03-07,,,,,,,
Trouw,2020-03-07,,,,,,,
Trouw,2020-03-07,,,,,,,
Trouw,2020-03-07,,,,,,,
Trouw,2020-03-07,,,,,,,
Trouw,2020-03-07,,,,,,,
Trouw,2020-03-07,,,,,,,
Trouw,2020-03-07,,,,,,,
Trouw,2020-03-07,"lof, terecht",,,,,lof,
De Volkskrant,2020-03-08,,overlijden,,,overlijden,,overlijden
De Volkskrant,2020-03-08,,teleurgesteld,teleurgesteld,teleurgesteld,,,teleurgesteld
De Volkskrant,2020-03-08,,,,,,,
De Volkskrant,2020-03-08,,,,,,,
De Volkskrant,2020-03-08,centrum,,,,,,
