,Date_of_publication,Total_reported,Cases_level,Deceased,Deaths_level,Cases_Increase,Deaths_Increase
0,2020-02-28,1,Very Low,0,Very Low,,
1,2020-02-29,1,Very Low,0,Very Low,,
2,2020-03-01,3,Very Low,0,Very Low,,
3,2020-03-02,5,Very Low,0,Very Low,,
4,2020-03-03,4,Very Low,0,Very Low,,
5,2020-03-04,10,Very Low,0,Very Low,,
6,2020-03-05,17,Very Low,0,Very Low,,
7,2020-03-06,40,Very Low,0,Very Low,,
8,2020-03-07,50,Very Low,1,Very Low,,
9,2020-03-08,32,Very Low,1,Very Low,,
10,2020-03-09,61,Very Low,1,Very Low,,
11,2020-03-10,130,Very Low,0,Very Low,,
12,2020-03-11,123,Very Low,1,Very Low,,
13,2020-03-12,127,Very Low,0,Very Low,True,True
14,2020-03-13,113,Very Low,3,Very Low,True,True
15,2020-03-14,219,Very Low,3,Very Low,True,True
16,2020-03-15,173,Very Low,7,Very Low,True,True
17,2020-03-16,270,Low,4,Very Low,True,True
18,2020-03-17,288,Low,18,Low,True,True
19,2020-03-18,347,Low,16,Low,True,True
20,2020-03-19,396,Low,21,Low,True,True
21,2020-03-20,533,Low,29,Intermediate,True,True
22,2020-03-21,637,Low,31,Intermediate,True,True
23,2020-03-22,605,Low,43,Intermediate,True,True
24,2020-03-23,553,Low,32,Intermediate,True,True
25,2020-03-24,749,Low,62,High,True,True
26,2020-03-25,843,Low,80,High,True,True
27,2020-03-26,1007,Low,75,High,True,True
28,2020-03-27,1167,Low,114,High,True,True
29,2020-03-28,1146,Low,89,High,True,True
30,2020-03-29,1092,Low,125,High,True,True
31,2020-03-30,873,Low,90,High,True,True
32,2020-03-31,834,Low,172,Very High,True,True
33,2020-04-01,1008,Low,134,Very High,True,True
34,2020-04-02,1083,Low,164,Very High,True,True
35,2020-04-03,1020,Low,142,Very High,True,True
36,2020-04-04,1002,Low,177,Very High,True,True
37,2020-04-05,1099,Low,105,High,True,True
38,2020-04-06,945,Low,101,High,True,True
39,2020-04-07,782,Low,232,Very High,False,True
40,2020-04-08,959,Low,148,Very High,False,True
41,2020-04-09,1208,Low,145,Very High,False,True
42,2020-04-10,1327,Low,114,High,True,True
43,2020-04-11,1301,Low,134,Very High,True,False
44,2020-04-12,1171,Low,94,High,True,False
45,2020-04-13,959,Low,85,High,True,False
46,2020-04-14,862,Low,122,High,True,False
47,2020-04-15,730,Low,185,Very High,True,False
48,2020-04-16,1069,Low,185,Very High,True,False
49,2020-04-17,1234,Low,144,Very High,True,False
50,2020-04-18,1186,Low,144,Very High,False,False
51,2020-04-19,1023,Low,80,High,False,False
52,2020-04-20,748,Low,65,High,False,False
53,2020-04-21,716,Low,162,Very High,False,True
54,2020-04-22,708,Low,141,Very High,False,True
55,2020-04-23,874,Low,129,Very High,False,False
56,2020-04-24,805,Low,111,High,False,False
57,2020-04-25,647,Low,120,High,False,False
58,2020-04-26,651,Low,65,High,False,False
59,2020-04-27,405,Low,43,Intermediate,False,False
60,2020-04-28,193,Very Low,58,High,False,False
61,2020-04-29,388,Low,136,Very High,False,False
62,2020-04-30,507,Low,82,High,False,False
63,2020-05-01,478,Low,100,High,False,False
