,Date_of_statistics,IC_admission,Admission_Increase
0,2020-02-27,0,
1,2020-02-28,0,
2,2020-02-29,1,
3,2020-03-01,1,
4,2020-03-02,0,
5,2020-03-03,2,
6,2020-03-04,3,
7,2020-03-05,1,
8,2020-03-06,4,
9,2020-03-07,3,
10,2020-03-08,5,
11,2020-03-09,7,
12,2020-03-10,10,
13,2020-03-11,9,True
14,2020-03-12,23,True
15,2020-03-13,13,True
16,2020-03-14,21,True
17,2020-03-15,28,True
18,2020-03-16,33,True
19,2020-03-17,35,True
20,2020-03-18,56,True
21,2020-03-19,66,True
22,2020-03-20,83,True
23,2020-03-21,80,True
24,2020-03-22,73,True
25,2020-03-23,98,True
26,2020-03-24,111,True
27,2020-03-25,120,True
28,2020-03-26,110,True
29,2020-03-27,115,True
30,2020-03-28,103,True
31,2020-03-29,92,True
32,2020-03-30,127,True
33,2020-03-31,113,True
34,2020-04-01,76,True
35,2020-04-02,96,True
36,2020-04-03,77,False
37,2020-04-04,64,False
38,2020-04-05,75,False
39,2020-04-06,61,False
40,2020-04-07,60,False
41,2020-04-08,59,False
42,2020-04-09,52,False
43,2020-04-10,50,False
44,2020-04-11,28,False
45,2020-04-12,33,False
46,2020-04-13,45,False
47,2020-04-14,36,False
48,2020-04-15,24,False
49,2020-04-16,30,False
50,2020-04-17,26,False
51,2020-04-18,19,False
52,2020-04-19,20,False
53,2020-04-20,26,False
54,2020-04-21,23,False
55,2020-04-22,15,False
56,2020-04-23,17,False
57,2020-04-24,17,False
58,2020-04-25,14,False
59,2020-04-26,13,False
60,2020-04-27,14,False
61,2020-04-28,14,False
62,2020-04-29,12,False
63,2020-04-30,17,False
64,2020-05-01,9,False
65,2020-05-02,9,False
66,2020-05-03,11,False
67,2020-05-04,11,False
68,2020-05-05,3,False
69,2020-05-06,7,False
70,2020-05-07,9,False
71,2020-05-08,7,False
72,2020-05-09,5,False
73,2020-05-10,4,False
74,2020-05-11,7,False
75,2020-05-12,2,False
76,2020-05-13,3,False
77,2020-05-14,8,False
78,2020-05-15,3,False
79,2020-05-16,7,False
80,2020-05-17,4,False
81,2020-05-18,4,False
82,2020-05-19,1,False
83,2020-05-20,2,False
84,2020-05-21,2,False
85,2020-05-22,4,False
86,2020-05-23,4,False
87,2020-05-24,7,False
88,2020-05-25,1,False
89,2020-05-26,4,False
90,2020-05-27,3,False
91,2020-05-28,1,True
92,2020-05-29,1,False
93,2020-05-30,3,False
94,2020-05-31,3,False
95,2020-06-01,5,False
96,2020-06-02,1,False
97,2020-06-03,5,False
98,2020-06-04,5,False
99,2020-06-05,3,True
100,2020-06-06,2,True
101,2020-06-07,3,True
102,2020-06-08,0,False
103,2020-06-09,2,True
104,2020-06-10,2,False
105,2020-06-11,1,False
106,2020-06-12,3,False
107,2020-06-13,2,False
108,2020-06-14,0,False
109,2020-06-15,1,False
110,2020-06-16,2,False
111,2020-06-17,0,False
112,2020-06-18,1,False
113,2020-06-19,0,False
114,2020-06-20,2,False
115,2020-06-21,0,False
116,2020-06-22,3,False
117,2020-06-23,1,False
118,2020-06-24,1,False
119,2020-06-25,0,False
120,2020-06-26,0,True
121,2020-06-27,0,False
122,2020-06-28,0,False
123,2020-06-29,0,False
124,2020-06-30,2,False
125,2020-07-01,0,False
126,2020-07-02,2,False
127,2020-07-03,0,False
128,2020-07-04,1,False
129,2020-07-05,0,False
130,2020-07-06,0,True
131,2020-07-07,1,True
132,2020-07-08,2,True
133,2020-07-09,1,True
134,2020-07-10,1,True
135,2020-07-11,0,False
136,2020-07-12,1,True
137,2020-07-13,0,True
138,2020-07-14,0,True
139,2020-07-15,1,False
140,2020-07-16,1,False
141,2020-07-17,0,False
142,2020-07-18,0,False
143,2020-07-19,1,False
144,2020-07-20,0,False
145,2020-07-21,2,False
146,2020-07-22,1,True
147,2020-07-23,1,True
148,2020-07-24,1,True
149,2020-07-25,1,True
150,2020-07-26,3,True
151,2020-07-27,3,True
152,2020-07-28,0,True
153,2020-07-29,0,True
154,2020-07-30,3,True
155,2020-07-31,4,True
156,2020-08-01,2,True
157,2020-08-02,2,True
158,2020-08-03,3,True
159,2020-08-04,3,True
160,2020-08-05,2,True
161,2020-08-06,3,True
162,2020-08-07,1,True
163,2020-08-08,1,False
164,2020-08-09,5,True
165,2020-08-10,4,True
166,2020-08-11,3,True
167,2020-08-12,4,True
168,2020-08-13,4,True
169,2020-08-14,6,True
170,2020-08-15,1,True
171,2020-08-16,4,True
172,2020-08-17,7,True
173,2020-08-18,2,True
174,2020-08-19,3,True
175,2020-08-20,6,True
176,2020-08-21,5,True
177,2020-08-22,0,False
178,2020-08-23,5,True
179,2020-08-24,2,False
180,2020-08-25,3,False
181,2020-08-26,0,False
182,2020-08-27,2,False
183,2020-08-28,2,False
184,2020-08-29,3,False
185,2020-08-30,3,False
186,2020-08-31,1,False
187,2020-09-01,2,False
188,2020-09-02,2,False
189,2020-09-03,3,False
190,2020-09-04,4,True
191,2020-09-05,1,False
192,2020-09-06,4,True
193,2020-09-07,3,True
194,2020-09-08,3,True
195,2020-09-09,4,True
196,2020-09-10,5,True
197,2020-09-11,6,True
198,2020-09-12,6,True
199,2020-09-13,4,True
200,2020-09-14,10,True
201,2020-09-15,4,True
202,2020-09-16,1,True
203,2020-09-17,4,True
204,2020-09-18,7,True
205,2020-09-19,14,True
206,2020-09-20,13,True
207,2020-09-21,13,True
208,2020-09-22,10,True
209,2020-09-23,13,True
210,2020-09-24,11,True
211,2020-09-25,18,True
212,2020-09-26,13,True
213,2020-09-27,17,True
214,2020-09-28,15,True
215,2020-09-29,22,True
216,2020-09-30,15,True
217,2020-10-01,13,True
218,2020-10-02,14,True
219,2020-10-03,19,True
220,2020-10-04,22,True
221,2020-10-05,28,True
222,2020-10-06,34,True
223,2020-10-07,29,True
224,2020-10-08,22,True
225,2020-10-09,28,True
226,2020-10-10,27,True
227,2020-10-11,19,True
228,2020-10-12,41,True
229,2020-10-13,36,True
230,2020-10-14,35,True
231,2020-10-15,37,True
232,2020-10-16,55,True
233,2020-10-17,30,True
234,2020-10-18,41,True
235,2020-10-19,58,True
236,2020-10-20,49,True
237,2020-10-21,49,True
238,2020-10-22,43,True
239,2020-10-23,54,True
240,2020-10-24,38,True
241,2020-10-25,48,True
242,2020-10-26,59,True
243,2020-10-27,50,True
244,2020-10-28,51,True
245,2020-10-29,46,True
246,2020-10-30,42,True
247,2020-10-31,48,True
248,2020-11-01,43,False
249,2020-11-02,60,False
250,2020-11-03,31,False
251,2020-11-04,40,False
